ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID
,4688,2026-04-18 17:03:16.190083+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\msiexec.exe,"""C:\Windows\SysWOW64\icacls.exe"" ""C:\Program Files (x86)\ossec-agent""\* /grant *S-1-5-11:RX",700
,4688,2026-04-18 17:03:16.218849+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\icacls.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,701
C:\Windows\SysWOW64\icacls.exe,4689,2026-04-18 17:03:16.314026+00:00,DESKTOP-7CV8A7M$,,,,702
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:03:16.318958+00:00,DESKTOP-7CV8A7M$,,,,703
,4688,2026-04-18 17:03:16.339430+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\msiexec.exe,"""C:\Windows\SysWOW64\icacls.exe"" ""C:\Program Files (x86)\ossec-agent"" /grant *S-1-5-11:RX",704
,4688,2026-04-18 17:03:16.346216+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\icacls.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,705
C:\Windows\SysWOW64\icacls.exe,4689,2026-04-18 17:03:16.406487+00:00,DESKTOP-7CV8A7M$,,,,706
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:03:16.413233+00:00,DESKTOP-7CV8A7M$,,,,707
,4688,2026-04-18 17:03:16.422434+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\msiexec.exe,"""C:\Windows\SysWOW64\icacls.exe"" ""C:\Program Files (x86)\ossec-agent\*ossec.conf"" /remove *S-1-5-11 /q",708
,4688,2026-04-18 17:03:16.428007+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\icacls.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,709
C:\Windows\SysWOW64\icacls.exe,4689,2026-04-18 17:03:16.462271+00:00,DESKTOP-7CV8A7M$,,,,710
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:03:16.468744+00:00,DESKTOP-7CV8A7M$,,,,711
,4688,2026-04-18 17:03:16.479996+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\msiexec.exe,"""C:\Windows\SysWOW64\icacls.exe"" ""C:\Program Files (x86)\ossec-agent\client.keys"" /remove *S-1-5-11 /q",712
,4688,2026-04-18 17:03:16.489191+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\icacls.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,713
C:\Windows\SysWOW64\icacls.exe,4689,2026-04-18 17:03:16.527512+00:00,DESKTOP-7CV8A7M$,,,,714
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:03:16.534409+00:00,DESKTOP-7CV8A7M$,,,,715
