TargetUserName,Timestamp,SubjectUserName,EventID,ParentProcessName,CommandLine,ProcessName,RowID
,2026-04-20 18:17:27.008036+00:00,pizza,4689,,,C:\Windows\System32\net1.exe,980
,2026-04-20 18:17:27.009851+00:00,pizza,4689,,,C:\Windows\System32\net.exe,981
-,2026-04-20 18:17:36.554178+00:00,pizza,4688,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\net.exe"" user system44 a /add",,982
-,2026-04-20 18:17:36.562893+00:00,pizza,4688,C:\Windows\System32\net.exe,C:\WINDOWS\system32\net1 user system44 a /add,,983
,2026-04-20 18:17:36.573536+00:00,pizza,4728,,,,984
system44,2026-04-20 18:17:36.573948+00:00,pizza,4720,,,,985
system44,2026-04-20 18:17:36.596107+00:00,pizza,4722,,,,986
system44,2026-04-20 18:17:36.596176+00:00,pizza,4738,,,,987
system44,2026-04-20 18:17:36.596188+00:00,pizza,4724,,,,988
Users,2026-04-20 18:17:36.601208+00:00,pizza,4732,,,,989
,2026-04-20 18:17:36.606367+00:00,pizza,4689,,,C:\Windows\System32\net1.exe,990
,2026-04-20 18:17:36.607645+00:00,pizza,4689,,,C:\Windows\System32\net.exe,991
-,2026-04-20 18:17:42.778080+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\usoclient.exe"" StartWork",,992
-,2026-04-20 18:17:42.815117+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",,993
SYSTEM,2026-04-20 18:17:42.908543+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,994
,2026-04-20 18:17:42.908548+00:00,SYSTEM,4672,,,,995
-,2026-04-20 18:17:42.910275+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k wusvcs -p -s WaaSMedicSvc,,996
,2026-04-20 18:17:43.035944+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\UsoClient.exe,997
pizza,2026-04-20 18:17:43.109514+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",,998
pizza,2026-04-20 18:17:43.187904+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,,999
,2026-04-20 18:17:43.263399+00:00,pizza,4689,,,C:\Windows\System32\backgroundTaskHost.exe,1000
,2026-04-20 18:17:48.836346+00:00,pizza,4689,,,C:\Windows\System32\RuntimeBroker.exe,1001
,2026-04-20 18:17:48.837250+00:00,pizza,4689,,,C:\Windows\System32\RuntimeBroker.exe,1002
-,2026-04-20 18:17:50.297600+00:00,pizza,4688,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\net.exe"" localgroup administrators system44 /add",,1003
-,2026-04-20 18:17:50.308010+00:00,pizza,4688,C:\Windows\System32\net.exe,C:\WINDOWS\system32\net1 localgroup administrators system44 /add,,1004
