TargetUserName,Timestamp,SubjectUserName,EventID,ParentProcessName,CommandLine,ProcessName,RowID
,2026-04-20 18:11:23.302374+00:00,SYSTEM,4672,,,,671
-,2026-04-20 18:11:23.304121+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\servicing\TrustedInstaller.exe,,672
-,2026-04-20 18:11:23.339184+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.8247_none_a53a4f5b773e04f9\TiWorker.exe -Embedding,,673
-,2026-04-20 18:11:35.271435+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\UCConfigTask.exe""",,674
,2026-04-20 18:11:35.448315+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\UCConfigTask.exe,675
,2026-04-20 18:11:38.724623+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\taskhostw.exe,676
-,2026-04-20 18:12:04.089514+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,wmiadap.exe /F /T /R,,677
,2026-04-20 18:12:06.356157+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\sppsvc.exe,678
,2026-04-20 18:12:08.179384+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\svchost.exe,679
,2026-04-20 18:12:09.303640+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\UUS\Packages\Preview\amd64\MoUsoCoreWorker.exe,680
-,2026-04-20 18:12:13.428196+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\SearchIndexer.exe,"""C:\WINDOWS\System32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe2_ Global\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",,681
,2026-04-20 18:12:13.433659+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\SearchFilterHost.exe,682
,2026-04-20 18:12:16.405657+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\SearchProtocolHost.exe,683
,2026-04-20 18:12:20.141878+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\wbem\WMIADAP.exe,684
-,2026-04-20 18:12:22.666122+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\svchost.exe,taskhostw.exe,,685
